outcome_transformed,outcome,model,avg_power,mean_att,mean_se,n_sims
No,y_nibrs_female_agg_18,cs,0,-0.913970678789234,21.2416566129859,1100
No,y_nibrs_female_agg_18,imputation,0,9.77348105824496,25.1195354310014,1100
No,y_nibrs_female_agg_plus_sim_18,cs,0.00636363636363636,-3.70952058081574,78.006150740982,1100
No,y_nibrs_female_agg_plus_sim_18,imputation,0.0227272727272727,31.451466534257,87.5203174455478,1100
No,y_nibrs_female_aggshare,cs,0.58,0.00106362245911724,0.0124269852191478,1100
No,y_nibrs_female_aggshare,imputation,0.426363636363636,0.00434900961324139,0.0166981653017296,1100
No,y_nibrs_female_sim_18,cs,0.0854545454545455,-4.02198554080066,58.2150835470159,1100
No,y_nibrs_female_sim_18,imputation,0.101818181818182,20.4515511775302,63.1327480299639,1100
No,y_shr_female_18,cs,0.830909090909091,0.0631643061287292,0.121142051968417,1100
No,y_shr_female_18,imputation,0.730909090909091,-0.0721560637662649,0.141776553249652,1100
No,y_shr_female_1849,cs,0.773636363636364,0.0195386625407149,0.177186266998975,1100
No,y_shr_female_1849,imputation,0.748181818181818,-0.066847401984511,0.188039204121639,1100
No,y_shr_female_dv_1849,cs,0.705454545454546,-0.022249288513239,0.0956189578017065,1100
No,y_shr_female_dv_1849,imputation,0.678181818181818,-0.0460756384129939,0.10611852476746,1100
ihs,y_nibrs_female_agg_18,cs,0,-1.00283067855037,21.2279665260495,1100
ihs,y_nibrs_female_agg_18,imputation,0,9.68462105848382,25.0011407258179,1100
ihs,y_nibrs_female_agg_plus_sim_18,cs,0,-13.5360302305786,71.6099254555172,1100
ihs,y_nibrs_female_agg_plus_sim_18,imputation,,,,1100
ihs,y_nibrs_female_aggshare,cs,0.572727272727273,0.000915958183248619,0.0124055086796767,1100
ihs,y_nibrs_female_aggshare,imputation,0.424545454545455,0.00420134533737277,0.0166904475815532,1100
ihs,y_nibrs_female_sim_18,cs,0,-9.67206143071691,53.1370903083981,1100
ihs,y_nibrs_female_sim_18,imputation,,,,1100
ihs,y_shr_female_18,cs,0.565454545454545,0.0224670616680154,0.111380637792574,1100
ihs,y_shr_female_18,imputation,0.400909090909091,-0.112853308226979,0.136424406650114,1100
ihs,y_shr_female_1849,cs,0.33,-0.0228798183208996,0.164756261401031,1100
ihs,y_shr_female_1849,imputation,0.255454545454545,-0.109265882846125,0.180598598611159,1100
ihs,y_shr_female_dv_1849,cs,0.496363636363636,-0.0484981857416473,0.091340621167888,1100
ihs,y_shr_female_dv_1849,imputation,0.424545454545455,-0.0723245356414022,0.103511539628592,1100
