outcome_transformed,pta_type,outcome,mean_units_dropped,sd_units_dropped,mean_pct_dropped,n_sims,outcome_label
No,cs,y_nibrs_female_agg_18,9.09090909090909,0.668346520070908,53.475935828877,1100,agg_18
No,imputation,y_nibrs_female_agg_18,13,0.738884879004979,76.4705882352941,1100,agg_18
No,cs,y_nibrs_female_agg_plus_sim_18,8.27272727272727,1.48335680915866,48.6631016042781,1100,agg_plus_sim_18
No,imputation,y_nibrs_female_agg_plus_sim_18,8,1.20659395481352,47.0588235294118,1100,agg_plus_sim_18
No,cs,y_nibrs_female_aggshare,4.45454545454545,0.987974680710261,26.2032085561497,1100,aggshare
No,imputation,y_nibrs_female_aggshare,2.09090909090909,0.514493391033185,12.2994652406417,1100,aggshare
No,cs,y_nibrs_female_sim_18,8.27272727272727,1.48335680915866,48.6631016042781,1100,sim_18
No,imputation,y_nibrs_female_sim_18,5.45454545454545,0.891128693427877,32.0855614973262,1100,sim_18
No,cs,y_shr_female_18,13.8181818181818,3.43450832938825,30.7070707070707,1100,18
No,imputation,y_shr_female_18,13.5454545454545,2.57246695516592,30.1010101010101,1100,18
No,cs,y_shr_female_1849,17.6363636363636,4.92477954357519,39.1919191919192,1100,1849
No,imputation,y_shr_female_1849,14.0909090909091,2.61076881827619,31.3131313131313,1100,1849
No,cs,y_shr_female_dv_1849,27.8181818181818,2.72547987504213,61.8181818181818,1100,dv_1849
No,imputation,y_shr_female_dv_1849,22.0909090909091,2.10957975514565,49.0909090909091,1100,dv_1849
ihs,cs,y_nibrs_female_agg_18,0,0,0,1100,agg_18
ihs,imputation,y_nibrs_female_agg_18,0,0,0,1100,agg_18
ihs,cs,y_nibrs_female_agg_plus_sim_18,0,0,0,1100,agg_plus_sim_18
ihs,imputation,y_nibrs_female_agg_plus_sim_18,0,0,0,1100,agg_plus_sim_18
ihs,cs,y_nibrs_female_aggshare,0,0,0,1100,aggshare
ihs,imputation,y_nibrs_female_aggshare,0,0,0,1100,aggshare
ihs,cs,y_nibrs_female_sim_18,0,0,0,1100,sim_18
ihs,imputation,y_nibrs_female_sim_18,0,0,0,1100,sim_18
ihs,cs,y_shr_female_18,0,0,0,1100,18
ihs,imputation,y_shr_female_18,0,0,0,1100,18
ihs,cs,y_shr_female_1849,0,0,0,1100,1849
ihs,imputation,y_shr_female_1849,0,0,0,1100,1849
ihs,cs,y_shr_female_dv_1849,0,0,0,1100,dv_1849
ihs,imputation,y_shr_female_dv_1849,0,0,0,1100,dv_1849
