outcome_transformed,control_label,percent_effect,power,n_specs
No,No controls,0.5,0.61,2800
No,No controls,0.6,0.573214285714286,2800
No,No controls,0.7,0.500357142857143,2800
No,No controls,0.8,0.434285714285714,2800
No,No controls,0.9,0.1475,2800
No,No controls,1,0,2800
No,No controls,1.1,0.0867857142857143,2800
No,No controls,1.2,0.327142857142857,2800
No,No controls,1.3,0.544285714285714,2800
No,No controls,1.4,0.601428571428571,2800
No,No controls,1.5,0.668571428571429,2800
No,Economic + Crime,0.5,0.892857142857143,2800
No,Economic + Crime,0.6,0.8925,2800
No,Economic + Crime,0.7,0.748928571428571,2800
No,Economic + Crime,0.8,0.628214285714286,2800
No,Economic + Crime,0.9,0.244285714285714,2800
No,Economic + Crime,1,0.0553571428571429,2800
No,Economic + Crime,1.1,0.4125,2800
No,Economic + Crime,1.2,0.628571428571429,2800
No,Economic + Crime,1.3,0.776428571428571,2800
No,Economic + Crime,1.4,0.837857142857143,2800
No,Economic + Crime,1.5,0.859285714285714,2800
No,Econ + Crime + DV policies,0.5,0.872857142857143,2800
No,Econ + Crime + DV policies,0.6,0.871071428571429,2800
No,Econ + Crime + DV policies,0.7,0.680714285714286,2800
No,Econ + Crime + DV policies,0.8,0.586428571428571,2800
No,Econ + Crime + DV policies,0.9,0.473571428571429,2800
No,Econ + Crime + DV policies,1,0.202142857142857,2800
No,Econ + Crime + DV policies,1.1,0.461785714285714,2800
No,Econ + Crime + DV policies,1.2,0.660357142857143,2800
No,Econ + Crime + DV policies,1.3,0.742857142857143,2800
No,Econ + Crime + DV policies,1.4,0.795714285714286,2800
No,Econ + Crime + DV policies,1.5,0.827857142857143,2800
ihs,No controls,0.5,0.666666666666667,2800
ihs,No controls,0.6,0.645416666666667,2800
ihs,No controls,0.7,0.465,2800
ihs,No controls,0.8,0.155416666666667,2800
ihs,No controls,0.9,0.00416666666666667,2800
ihs,No controls,1,0,2800
ihs,No controls,1.1,0.000416666666666667,2800
ihs,No controls,1.2,0.0670833333333333,2800
ihs,No controls,1.3,0.271666666666667,2800
ihs,No controls,1.4,0.39125,2800
ihs,No controls,1.5,0.495833333333333,2800
ihs,Economic + Crime,0.5,0.705652173913044,2800
ihs,Economic + Crime,0.6,0.664782608695652,2800
ihs,Economic + Crime,0.7,0.537826086956522,2800
ihs,Economic + Crime,0.8,0.329565217391304,2800
ihs,Economic + Crime,0.9,0.0830434782608696,2800
ihs,Economic + Crime,1,0.0708695652173913,2800
ihs,Economic + Crime,1.1,0.219565217391304,2800
ihs,Economic + Crime,1.2,0.44695652173913,2800
ihs,Economic + Crime,1.3,0.542173913043478,2800
ihs,Economic + Crime,1.4,0.59695652173913,2800
ihs,Economic + Crime,1.5,0.662608695652174,2800
ihs,Econ + Crime + DV policies,0.5,0.786956521739131,2600
ihs,Econ + Crime + DV policies,0.6,0.708260869565217,2600
ihs,Econ + Crime + DV policies,0.7,0.567826086956522,2600
ihs,Econ + Crime + DV policies,0.8,0.493913043478261,2600
ihs,Econ + Crime + DV policies,0.9,0.319130434782609,2600
ihs,Econ + Crime + DV policies,1,0.250434782608696,2600
ihs,Econ + Crime + DV policies,1.1,0.337391304347826,2600
ihs,Econ + Crime + DV policies,1.2,0.500434782608696,2600
ihs,Econ + Crime + DV policies,1.3,0.606086956521739,2600
ihs,Econ + Crime + DV policies,1.4,0.65304347826087,2600
ihs,Econ + Crime + DV policies,1.5,0.655217391304348,2600
